baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,technical,result,show_stopper
Annetha,30,Midwife,Essex,1,1,Light Jamaican Black Cakewith Strawberries and Cream,2,IN,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
David,31,Entrepreneur,Milton Keynes,1,1,Chocolate Orange Cake,3,IN,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,1,Caramel Cinnamon and Banana Cake,1,IN,NA
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,NA,IN,NA
Jonathan,25,Research Analyst,St Albans,1,1,Carrot Cake with Lime and Cream Cheese Icing,9,IN,Three Tiered White and Dark Chocolate with Almond and Cherry
Louise,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,NA,IN,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,IN,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,IN,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
Lea,51,Retired,"Midlothian, Scotland",1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,OUT,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
Mark,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,NA,OUT,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
David,31,Entrepreneur,Milton Keynes,1,2,Cheddar Cheese and Fresh Rosemary Biscuits,8,IN,Choux Pastry Swans  Chocolate Profiteroles
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,2,Oatmeal Raisin Cookie,6,IN,Pink Macarons
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,2,Millionaires' Shortbread,2,IN,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
Jonathan,25,Research Analyst,St Albans,1,2,Honey and Candied Ginger Cookies,1,IN,Meringues with Whiskey Cream
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,2,Fresh Vanilla Biscuits with Royal Icing,3,IN,Pistachio Macarons
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,2,Peanut Shortbread withSalted Peanut Caramel,5,IN,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
Annetha,30,Midwife,Essex,1,2,Rose Petal Shortbread,7,OUT,Pink Swirl Macarons / Eclairs
Louise,44,Police Officer,Manchester,1,2,Stained Glass Window Shortbread,4,OUT,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
Lea,51,Retired,"Midlothian, Scotland",1,2,NA,NA,NA,NA
Mark,48,Bus Driver,South Wales,1,2,NA,NA,NA,NA
David,31,Entrepreneur,Milton Keynes,1,3,Chilli Bread,4,IN,"Walnut and Seed Roll
Red Berry and Almond Bun"
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,3,Olive Bread,1,IN,Tomato and Mozzarella
